TeamA,Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %
BB,Boston Bruins,82,49:36:00,65,12,5,61,135,0.823
CH,Carolina Hurricanes,82,50:23:00,52,21,9,48,113,0.689
NJD,New Jersey Devils,82,51:39:00,52,22,8,50,112,0.683
VGK,Vegas Golden Knights,82,52:56:00,51,22,9,46,111,0.677
TML,Toronto Maple Leafs,82,50:21:00,50,21,11,49,111,0.677
CA,Colorado Avalanche,82,50:34:00,51,24,7,45,109,0.665
EO,Edmonton Oilers,82,50:06:00,50,23,9,50,109,0.665
DS,Dallas Stars,82,50:39:00,47,21,14,43,108,0.659
NYR,New York Rangers,82,51:24:00,47,22,13,43,107,0.652
LAK,Los Angeles Kings,82,50:29:00,47,25,10,41,104,0.634
MIW,Minnesota Wild,82,51:00:00,46,25,11,39,103,0.628
SEK,Seattle Kraken,82,50:46:00,46,28,8,46,100,0.61
TBL,Tampa Bay Lightning,82,50:03:00,46,30,6,43,98,0.598
WIJ,Winnipeg Jets,82,49:57:00,46,33,3,45,95,0.579
NYI,New York Islanders,82,51:24:00,42,31,9,41,93,0.567
CAF,Calgary Flames,82,50:12:00,38,27,17,36,93,0.567
NAP,Nashville Predators,82,50:15:00,42,32,8,36,92,0.561
FLP,Florida Panthers,82,48:58:00,42,32,8,40,92,0.561
PP,Pittsburgh Penguins,82,49:48:00,40,31,11,39,91,0.555
BS,Buffalo Sabres,82,50:47:00,42,33,7,39,91,0.555
OS,Ottawa Senators,82,48:18:00,39,35,8,37,86,0.524
VC,Vancouver Canucks,82,50:51:00,38,37,7,32,83,0.506
SLB,St Louis Blues,82,51:16:00,37,38,7,34,81,0.494
WC,Washington Capitals,82,51:11:00,35,37,10,33,80,0.488
DRW,Detroit Red Wings,82,50:31:00,35,37,10,32,80,0.488
PF,Philadelphia Flyers,82,51:12:00,31,38,13,29,75,0.457
AZC,Arizona Coyotes,82,49:39:00,28,40,14,25,70,0.427
MC,Montreal Canadiens,82,50:15:00,31,45,6,26,68,0.415
SJS,San Jose Sharks,82,51:01:00,22,44,16,21,60,0.366
CBJ,Columbus Blue Jackets,82,51:22:00,25,48,9,24,59,0.36
CBL,Chicago Blackhawks,82,51:13:00,26,49,7,24,59,0.36
AD,Anaheim Ducks,82,50:53:00,23,47,12,20,58,0.354
